id,country_id,2017,2018,2019,2020
71,388,5.31099987,5.89,5.89,5.889800072
72,392,5.920000076,5.915,5.886,5.870800018
73,398,5.818999767,5.79,5.809,6.057899952
74,400,5.335999966,5.161,4.906,4.633399963
75,404,4.552999973,4.41,4.509,4.583000183
76,410,5.837999821,5.875,5.895,5.872399807
77,414,6.105000019,6.083,6.021,6.102099895
78,417,5.004000187,5.131,5.261,5.541500092
79,422,5.224999905,5.358,5.197,4.771500111
80,426,3.808000088,3.808,3.802,3.652800083
81,428,5.849999905,5.933,5.94,5.949999809
82,430,3.532999992,3.495,3.975,4.557899952
83,434,5.525000095,5.566,5.525,5.488800049
84,440,5.90199995,5.952,6.149,6.215499878
85,442,6.862999916,6.91,7.09,7.237500191
86,450,3.644000053,3.774,3.933,4.165599823
87,454,3.970000029,3.587,3.41,3.538000107
88,458,6.084000111,6.322,5.339,5.384300232
89,466,4.190000057,4.447,4.39,4.729300022
90,470,6.52699995,6.627,6.726,6.772799969
91,478,4.291999817,4.356,4.49,4.374599934
92,480,5.629000187,5.891,5.888,6.101299763
93,484,6.578000069,6.488,6.595,6.465000153
94,496,4.954999924,5.125,5.285,5.456200123
95,498,5.837999821,5.64,5.529,5.607500076
96,499,5.236999989,5.347,5.523,5.54610014
97,504,5.235000134,5.254,5.208,5.094799995
98,508,4.550000191,4.417,4.466,4.623600006
99,516,4.573999882,4.441,4.639,4.571100235
100,524,4.961999893,4.88,4.913,5.137199879
101,528,7.376999855,7.441,7.488,7.448900223
102,554,7.31400013,7.324,7.307,7.299600124
103,558,6.071000099,6.141,6.105,6.13710022
104,562,4.027999878,4.166,4.628,4.909599781
105,566,5.073999882,5.155,5.265,4.724100113
106,578,7.537000179,7.594,7.554,7.487999916
107,586,5.269000053,5.472,5.653,5.69329977
108,591,6.452000141,6.43,6.321,6.304800034
109,600,5.493000031,5.681,5.743,5.692100048
110,604,5.715000153,5.663,5.697,5.796800137
111,608,5.429999828,5.524,5.631,6.006000042
112,616,5.97300005,6.123,6.182,6.186299801
113,620,5.195000172,5.41,5.693,5.910900116
114,634,6.375,6.374,6.374,#N/A
115,642,5.824999809,5.945,6.07,6.123700142
116,643,5.962999821,5.81,5.648,5.546000004
117,646,3.470999956,3.408,3.334,3.312299967
118,682,6.343999863,6.371,6.375,6.406499863
119,686,4.534999847,4.631,4.681,4.980800152
120,688,5.394999981,5.398,5.603,5.77820015
121,694,4.709000111,4.571,4.374,3.926399946
122,702,6.572000027,6.343,6.262,6.377099991
123,703,6.09800005,6.173,6.198,6.280600071
124,704,5.073999882,5.103,5.175,5.353499889
125,705,5.757999897,5.948,6.118,6.363399982
126,706,5.151000023,4.982,4.668,#N/A
127,710,4.828999996,4.724,4.722,4.814099789
128,716,3.875,3.692,3.663,3.299200058
129,724,6.402999878,6.31,6.354,6.400899887
130,728,3.59100008,3.254,2.853,2.816600084
131,748,#N/A,#N/A,4.212,4.308100224
132,752,7.28399992,7.314,7.343,7.353499889
133,756,7.493999958,7.487,7.48,7.559899807
134,760,3.461999893,3.462,3.462,#N/A
135,762,5.040999889,5.199,5.467,5.555699825
136,764,6.423999786,6.072,6.008,5.998799801
137,768,3.494999886,3.999,4.085,4.187200069
138,784,6.647999763,6.774,6.825,6.790800095
139,788,4.804999828,4.592,4.461,4.392199993
140,792,5.5,5.483,5.373,5.131800175
141,795,5.822000027,5.636,5.247,5.119100094
142,800,4.080999851,4.161,4.189,4.43200016
143,804,4.096000195,4.103,4.332,4.56069994
144,818,4.735000134,4.419,4.166,4.151400089
145,826,6.714000225,7.19,7.054,7.164500237
146,834,3.348999977,3.303,3.231,3.476200104
147,840,6.993000031,6.886,6.892,6.939599991
148,854,4.032000065,4.424,4.587,4.768700123
149,858,6.453999996,6.379,6.293,6.440100193
150,860,5.971000195,6.096,6.174,6.257599831
151,862,5.25,4.806,4.707,5.053199768
152,887,3.592999935,3.355,3.38,3.527400017
153,894,4.513999939,4.377,4.107,3.759399891
