country_iso_code,happiness_index_2017,happiness_index_2018,happiness_index_2019,happiness_prediction_2020,prediction_percent_error,actual_values_2020
392,5.920000076,5.915,5.886,5.8330000759999905,0.6438635600618963,5.870800018
398,5.818999767,5.79,5.809,5.875999766999989,3.0026937790538573,6.057899952
400,5.335999966,5.161,4.906,4.570999965999988,1.3467431583352723,4.633399963
404,4.552999973,4.41,4.509,4.849999972999987,5.8258734309107165,4.583000183
410,5.837999821,5.875,5.895,5.897999820999985,0.4359378591605661,5.872399807
414,6.105000019,6.083,6.021,5.91900001899999,3.000604368178909,6.102099895
417,5.004000187,5.131,5.261,5.394000186999995,2.6617324289670794,5.541500092
422,5.224999905,5.358,5.197,4.741999904999987,0.6182585206695205,4.771500111
426,3.808000088,3.808,3.802,3.790000087999992,3.756022828583373,3.652800083
428,5.849999905,5.933,5.94,5.87099990499999,1.3277295216130054,5.949999809
430,3.532999992,3.495,3.975,4.9729999919999965,9.10726528382554,4.557899952
434,5.525000095,5.566,5.525,5.402000094999991,1.5814012757819962,5.488800049
440,5.90199995,5.952,6.149,6.4929999499999935,4.464646085541977,6.215499878
442,6.862999916,6.91,7.09,7.40299991599999,2.286697348979598,7.237500191
450,3.644000053,3.774,3.933,4.121000052999992,1.0706686166480468,4.165599823
454,3.970000029,3.587,3.41,3.4390000289999945,2.798193188409797,3.538000107
458,6.084000111,6.322,5.339,3.1350001109999788,41.77516156383646,5.384300232
466,4.190000057,4.447,4.39,4.019000056999987,15.019135214425042,4.729300022
470,6.52699995,6.627,6.726,6.823999949999988,0.7559647595431215,6.772799969
478,4.291999817,4.356,4.49,4.693999816999988,7.301236406044084,4.374599934
480,5.629000187,5.891,5.888,5.620000186999976,7.888476139440987,6.101299763
484,6.578000069,6.488,6.595,6.899000068999982,6.71306892078865,6.465000153
496,4.954999924,5.125,5.285,5.43499992399999,0.3885524453299195,5.456200123
498,5.837999821,5.64,5.529,5.504999820999992,1.8279135730859295,5.607500076
499,5.236999989,5.347,5.523,5.7649999889999854,3.946914831580833,5.54610014
504,5.235000134,5.254,5.208,5.097000133999993,0.043184011190866206,5.094799995
508,4.550000191,4.417,4.466,4.697000190999988,1.5875115690098067,4.623600006
516,4.573999882,4.441,4.639,5.167999881999993,13.058117659062725,4.571100235
524,4.961999893,4.88,4.913,5.0609998929999955,1.4832980572061605,5.137199879
528,7.376999855,7.441,7.488,7.517999854999983,0.9276487794349059,7.448900223
554,7.31400013,7.324,7.307,7.263000129999976,0.501397246127072,7.299600124
558,6.071000099,6.141,6.105,5.963000098999984,2.836846633735036,6.13710022
562,4.027999878,4.166,4.628,5.413999877999991,10.27375182294908,4.909599781
566,5.073999882,5.155,5.265,5.403999881999989,14.392154119024886,4.724100113
578,7.537000179,7.594,7.554,7.417000178999977,0.9481802590343723,7.487999916
586,5.269000053,5.472,5.653,5.812000052999984,2.084911875279385,5.69329977
591,6.452000141,6.43,6.321,6.125000140999989,2.851793744930876,6.304800034
