country_name,n_ironhack_campuses,country_iso_code,gdp,taxes_per_gdp,area,coast_ratio,population,climate,min_drinking_age,internet_users_ratio,avg_chocolate_consumption,paid_leave,olympic_medals,median_age,birth_rate,life_expectancy,obesity_rate,years_in_school,christian,muslim,unaffiliated,hindu,buddhist,folk_religion,other_religion,jewish,happiness_index_2019,Af,Am,Aw,BSh,BSk,BWh,Cfa,Cfb,Csa,Csb,Cwa,Dfa,Dfb,Dfc,ET
Belgium,0,56,557110000000,51.3,30528,0.002178328,11778842,Cfb,16,0.870937737,0.127857143,30,161,41.6,11.03,81.65,22.1,11.8,6880000,630000,3110000,5000,30000,20000,10000,30000,6.923,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Benin,0,204,40290000000,17.1,112622,0.00107439,13301694,Aw,20,0.180698488,0.019245283,37,0,17.0,41.55,61.82,9.6,3.6,4690000,2110000,450000,5000,5000,1600000,5000,5000,4.883,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,68,92590000000,39.9,1098581,0.0,11758869,BSh,18,0.421432452,0.611509434,9,0,25.3,20.36,70.7,20.2,8.9,9330000,5000,400000,5000,5000,90000,100000,5000,5.779,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,70,47050000000,44.0,51197,0.000390648,3824782,Dfb,18,0.705803363,1.538181818,29,0,43.3,8.5,77.74,17.9,9.7,1970000,1700000,90000,5000,5000,5000,5000,5000,5.386,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Botswana,0,72,37720000000,30.5,581730,0.0,2350667,BSh,18,0.449693215,0.254339623,29,2,25.7,20.6,65.24,18.9,9.3,1450000,5000,410000,5000,5000,120000,10000,5000,3.488,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brazil,1,76,2989430000000,35.7,8515770,0.000879662,213445417,Aw,18,0.660164083,0.492830189,22,150,33.2,13.44,74.98,22.1,7.8,173300000,40000,15410000,5000,250000,5540000,300000,110000,6.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,100,155060000000,35.7,110879,0.003192669,6919180,Dfb,18,0.660750407,1.244528302,32,230,43.7,8.15,75.3,25.0,11.8,6150000,1020000,310000,5000,5000,5000,5000,5000,5.011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Burkina Faso,0,854,45160000000,21.2,274200,0.0,21382659,BSh,18,0.147728774,0.003018868,45,1,17.9,34.34,63.06,5.6,1.5,3710000,10150000,70000,5000,5000,2530000,5000,5000,4.587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,116,70080000000,17.9,181035,0.002447041,17304363,Aw,0,0.380239827,0.002830189,45,0,26.4,20.84,66.27,3.9,4.8,50000,280000,30000,5000,13690000,80000,5000,5000,4.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,120,94940000000,15.3,475440,0.000845533,28524175,Aw,18,0.213475061,0.478867925,18,6,18.5,35.91,62.79,11.4,6.3,13780000,3590000,1050000,5000,5000,650000,530000,5000,5.044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,124,1742790000000,39.3,9984670,0.020239026,37943231,Dfb,18,0.889327374,1.699433962,30,525,41.8,10.21,83.62,29.4,13.3,23470000,710000,8050000,470000,280000,390000,300000,350000,7.278,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Central African Republic,0,140,4483000000,14.6,622984,0.0,5357984,Aw,0,0.046535413,0.00754717,24,0,20.0,33.2,55.07,7.5,4.3,3940000,370000,40000,5000,5000,40000,5000,5000,3.083,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,148,24970000000,13.5,1284000,0.0,17414108,Aw,18,0.059098807,0.002641509,27,0,16.1,41.05,58.73,6.1,2.3,4560000,6210000,280000,5000,5000,160000,20000,5000,4.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,152,445880000000,20.8,756102,0.008510756,18307925,Csb,18,0.806091788,0.573773585,30,13,35.5,12.92,79.57,28.0,10.3,15300000,5000,1470000,5000,10000,260000,30000,20000,6.444,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
China,0,156,23009780000000,21.3,9596960,0.001510895,1397897720,Cfa,18,0.537869193,0.019433962,16,696,38.4,11.3,76.31,6.2,7.8,68410000,24690000,700680000,20000,244110000,294300000,9080000,5000,5.191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
