name,country_id,slug,value,date_of_information,ranking,region
Gabon,266,gabon,"2,284,912",July 2021 est.,145,Africa
"Gambia, The",270,gambia-the,"2,221,301",July 2021 est.,146,Africa
Lesotho,426,lesotho,"2,177,740",July 2021 est.,147,Africa
Slovenia,705,slovenia,"2,102,106",July 2021 est.,149,Europe
Guinea-Bissau,#N/A,guinea-bissau,"1,976,187",July 2021 est.,150,Africa
Gaza Strip,#N/A,gaza-strip,"1,957,062",July 2021 est.,151,Middle East
Kosovo,383,kosovo,"1,935,259",July 2021 est.,152,Europe
Latvia,428,latvia,"1,862,687",July 2021 est.,153,Europe
Bahrain,48,bahrain,"1,526,929",July 2021 est.,154,Middle East
Timor-Leste,#N/A,timor-leste,"1,413,958",July 2021 est.,155,East Asia/Southeast Asia
Mauritius,480,mauritius,"1,386,129",July 2021 est.,156,Africa
Cyprus,196,cyprus,"1,281,506",July 2021 est.,157,Europe
Trinidad and Tobago,11,trinidad-and-tobago,"1,221,047",July 2021 est.,158,Central America
Estonia,233,estonia,"1,220,042",July 2021 est.,159,Europe
Eswatini,#N/A,eswatini,"1,113,276",July 2021 est.,160,Africa
Fiji,#N/A,fiji,"939,535",July 2021 est.,161,Australia - Oceania
Djibouti,#N/A,djibouti,"938,413",July 2021 est.,162,Africa
Comoros,174,comoros,"864,335",July 2021 est.,163,Africa
Bhutan,64,bhutan,"857,423",July 2021 est.,164,South Asia
Equatorial Guinea,#N/A,equatorial-guinea,"857,008",July 2021 est.,165,Africa
Guyana,#N/A,guyana,"787,971",July 2021 est.,166,South America
Solomon Islands,#N/A,solomon-islands,"690,598",July 2021 est.,167,Australia - Oceania
Luxembourg,442,luxembourg,"639,589",July 2021 est.,168,Europe
Macau,#N/A,macau,"630,396",July 2021 est.,169,East Asia/Southeast Asia
Suriname,#N/A,suriname,"614,749",July 2021 est.,170,South America
Montenegro,499,montenegro,"607,414",July 2021 est.,171,Europe
Cabo Verde,#N/A,cabo-verde,"589,451",July 2021 est.,172,Africa
Brunei,#N/A,brunei,"471,103",July 2021 est.,173,East Asia/Southeast Asia
Malta,470,malta,"460,891",July 2021 est.,174,Europe
Belize,84,belize,"405,633",July 2021 est.,175,Central America
Maldives,#N/A,maldives,"390,669",July 2021 est.,176,South Asia
Iceland,352,iceland,"354,234",July 2021 est.,177,Europe
"Bahamas, The",#N/A,bahamas-the,"352,655",July 2021 est.,178,Central America
Vanuatu,#N/A,vanuatu,"303,009",July 2021 est.,179,Australia - Oceania
Barbados,#N/A,barbados,"301,865",July 2021 est.,180,Central America
French Polynesia,#N/A,french-polynesia,"297,154",July 2021 est.,181,Australia - Oceania
New Caledonia,#N/A,new-caledonia,"293,608",July 2021 est.,182,Australia - Oceania
Sao Tome and Principe,#N/A,sao-tome-and-principe,"213,948",July 2021 est.,183,Africa
Samoa,#N/A,samoa,"204,898",July 2021 est.,184,Australia - Oceania
