name,,slug,value,date_of_information,ranking,region
San Marino,#N/A,san-marino,"20,328",,209,Europe
American Samoa,#N/A,american-samoa,"17,000", est.,210,Australia - Oceania
Northern Mariana Islands,#N/A,northern-mariana-islands,"16,000", est.,211,Australia - Oceania
Kiribati,#N/A,kiribati,"15,946",,212,Australia - Oceania
Anguilla,#N/A,anguilla,"14,211",,213,Central America
Palau,#N/A,palau,"7,650", est.,214,Australia - Oceania
Nauru,#N/A,nauru,"5,524",,215,Australia - Oceania
Tuvalu,#N/A,tuvalu,"5,498",,216,Australia - Oceania
Cook Islands,#N/A,cook-islands,"4,881",,217,Australia - Oceania
Saint Pierre and Miquelon,#N/A,saint-pierre-and-miquelon,"4,500", est.,218,North America
Antarctica,#N/A,antarctica,"4,400", est.,219,Antarctica
Wallis and Futuna,#N/A,wallis-and-futuna,"3,450", est.,220,Australia - Oceania
Falkland Islands (Islas Malvinas),#N/A,falkland-islands-islas-malvinas,"3,000", est.,221,South America
Montserrat,#N/A,montserrat,"2,860", est.,222,Central America
"Saint Helena, Ascension, and Tristan da Cunha",#N/A,saint-helena-ascension-and-tristan-da-cunha,"1,800", est.,223,Africa
Saint Martin,#N/A,saint-martin,"1,100", est.,224,Central America
Niue,#N/A,niue,"1,090", est.,225,Australia - Oceania
Tokelau,#N/A,tokelau,805, est.,226,Australia - Oceania
Christmas Island,#N/A,christmas-island,790, est.,227,Australia - Oceania
Norfolk Island,#N/A,norfolk-island,765, est.,228,Australia - Oceania
Pitcairn Islands,#N/A,pitcairn-islands,54, est.,229,Australia - Oceania
