name,,slug,value,date_of_information,ranking,region
Madagascar,450,madagascar,15.9,2017 est.,185,Africa
Burundi,108,burundi,15.8,2017 est.,186,Africa
Singapore,702,singapore,15.7,2017 est.,187,East Asia/Southeast Asia
Philippines,608,philippines,15.6,2017 est.,188,East Asia/Southeast Asia
Sierra Leone,694,sierra-leone,15.6,2017 est.,189,Africa
Pakistan,586,pakistan,15.4,2017 est.,190,South Asia
Cameroon,120,cameroon,15.3,2017 est.,191,Africa
Tanzania,834,tanzania,15.2,2017 est.,192,Africa
Thailand,764,thailand,15.2,2017 est.,193,East Asia/Southeast Asia
Dominican Republic,214,dominican-republic,14.9,2017 est.,194,Central America
Liechtenstein,#N/A,liechtenstein,14.9,2012 est.,195,Europe
Monaco,#N/A,monaco,14.9,2011 est.,196,Europe
Turkmenistan,795,turkmenistan,14.9,2017 est.,197,Central Asia
Central African Republic,140,central-african-republic,14.6,2017 est.,198,Africa
Uganda,800,uganda,14.5,2017 est.,199,Africa
Costa Rica,188,costa-rica,14.3,2017 est.,200,Central America
Isle of Man,#N/A,isle-of-man,14.2,FY05/06 est.,201,Europe
Paraguay,600,paraguay,14.2,2017 est.,202,South America
Ethiopia,231,ethiopia,13.9,2017 est.,203,Africa
Sri Lanka,144,sri-lanka,13.8,2017 est.,204,South Asia
Burma,#N/A,burma,13.5,2017 est.,205,East Asia/Southeast Asia
Chad,148,chad,13.5,2017 est.,206,Africa
West Bank,#N/A,west-bank,13.4,2017 est.,207,Middle East
Indonesia,360,indonesia,13,2017 est.,208,East Asia/Southeast Asia
"Korea, North",#N/A,korea-north,11.4,2007 est.,209,East Asia/Southeast Asia
Afghanistan,4,afghanistan,11.2,2017 est.,210,South Asia
"Congo, Democratic Republic of the",180,congo-democratic-republic-of-the,11.2,2017 est.,211,Africa
Guatemala,320,guatemala,10.8,2017 est.,212,Central America
Timor-Leste,#N/A,timor-leste,10.8,2017 est.,213,East Asia/Southeast Asia
Bangladesh,50,bangladesh,9.6,2017 est.,214,South Asia
India,356,india,9.2,2017 est.,215,South Asia
Yemen,887,yemen,9,2017 est.,216,Middle East
Puerto Rico,#N/A,puerto-rico,8.9,2017 est.,217,Central America
South Sudan,728,south-sudan,8.5,FY2017/18 est.,218,Africa
Syria,760,syria,4.2,2017 est.,219,Middle East
Nigeria,566,nigeria,3.4,2017 est.,220,Africa
Somalia,706,somalia,2.1,2014 est.,221,Africa
